,V1
S1,depressive disorder
S2,drug-induced liver injury
S3,mercury poisoning
S4,necrosis
S5,neoplasms
S6,anemia, hemolytic
S7,attention deficit and disruptive behavior disorders
S8,autistic disorder
S9,cognition disorders
S10,cystitis
S11,heavy metal toxicity
S12,hemolysis
S13,hypertension
S14,lead poisoning
S15,learning disorders
S16,lung injury
S17,micronuclei, chromosome-defective
S18,pneumonia
S19,anxiety disorders
S20,ataxia
S21,autoimmune diseases
S22,brain diseases
S23,brain edema
S24,brain injuries
S25,cardiomyopathies
S26,craniofacial abnormalities
S27,death
S28,disease models, animal
S29,drug toxicity
S30,epilepsy
S31,epilepsy, absence
S32,fetal growth retardation
S33,hyperkinesis
S34,hypersensitivity, delayed
S35,kidney diseases
S36,lead poisoning, nervous system
S37,memory disorders
S38,movement disorders
S39,myoclonus
S40,nerve degeneration
S41,prenatal exposure delayed effects
S42,reflex, abnormal
S43,seizures
S44,splenomegaly
S45,status epilepticus
S46,weight loss
S47,carcinoma
S48,liver neoplasms, experimental
S49,melanoma
S50,prostatic neoplasms
S51,respiratory distress syndrome, adult
S52,urinary bladder neoplasms
S53,abnormalities, drug-induced
S54,abnormalities, multiple
S55,acne vulgaris
S56,activated protein c resistance
S57,acute kidney injury
S58,adenocarcinoma
S59,adenoma, liver cell
S60,adrenal insufficiency
S61,adrenocortical hyperfunction
S62,albuminuria
S63,alcoholism
S64,alopecia
S65,amenorrhea
S66,amnesia
S67,anemia
S68,anemia, iron-deficiency
S69,anemia, macrocytic
S70,aneuploidy
S71,angioedema
S72,anorexia
S73,arrhythmias, cardiac
S74,arterial occlusive diseases
S75,arteriosclerosis
S76,arthritis, experimental
S77,asthenozoospermia
S78,atherosclerosis
S79,atrial septal defect 2
S80,atrophy
S81,attention deficit disorder with hyperactivity
S82,biliary dyskinesia
S83,birth weight
S84,blood coagulation disorders
S85,body weight changes
S86,bone diseases
S87,bone diseases, developmental
S88,bone marrow diseases
S89,bone resorption
S90,brain ischemia
S91,breast diseases
S92,breast neoplasms
S93,bronchial hyperreactivity
S94,budd-chiari syndrome
S95,cadmium poisoning
S96,candidiasis, vulvovaginal
S97,carcinoma, endometrioid
S98,carcinoma, hepatocellular
S99,carcinoma in situ
S100,cardiomegaly
S101,cardiomyopathy, hypertrophic
S102,cardiovascular abnormalities
S103,cardiovascular diseases
S104,carotid artery thrombosis
S105,catalepsy
S106,cell transformation, neoplastic
S107,cerebral hemorrhage
S108,cerebral infarction
S109,child behavior disorders
S110,chloracne
S111,cholangiocarcinoma
S112,choledochal cyst
S113,cholestasis
S114,cholestasis, intrahepatic
S115,chromosome aberrations
S116,chronobiology disorders
S117,cleft lip
S118,cleft palate
S119,cocaine-related disorders
S120,colitis
S121,congenital abnormalities
S122,congenital, hereditary, and neonatal diseases and abnormalities
S123,coronary artery disease
S124,coronary occlusion
S125,coxsackievirus infections
S126,cystadenoma
S127,cysts
S128,diabetes mellitus, type 1
S129,diabetes mellitus, type 2
S130,diabetic nephropathies
S131,diarrhea
S132,disorders of sex development
S133,disseminated intravascular coagulation
S134,dizziness
S135,drug hypersensitivity
S136,dyslipidemias
S137,dysmenorrhea
S138,dysostoses
S139,dyspepsia
S140,dysuria
S141,ear neoplasms
S142,eating disorders
S143,ebstein anomaly
S144,ectrodactyly
S145,edema
S146,edema, cardiac
S147,embryo loss
S148,encephalomyelitis, autoimmune, experimental
S149,endometrial neoplasms
S150,endometriosis
S151,epstein-barr virus infections
S152,eye abnormalities
S153,eye diseases
S154,fatigue
S155,fatty liver
S156,feminization
S157,fetal death
S158,fetal diseases
S159,fibrosis
S160,folic acid deficiency
S161,gallbladder diseases
S162,gallbladder neoplasms
S163,gallstones
S164,genital diseases, female
S165,genital diseases, male
S166,glucose intolerance
S167,glucose metabolism disorders
S168,glycosuria
S169,gonadal disorders
S170,growth disorders
S171,gynecomastia
S172,hamartoma
S173,hashimoto&apos;s encephalitis
S174,headache
S175,hearing disorders
S176,heart defects, congenital
S177,heart diseases
S178,heart failure
S179,heart septal defects, ventricular
S180,hematuria
S181,hemorrhage
S182,hepatomegaly
S183,herpes genitalis
S184,hirsutism
S185,hot flashes
S186,hydronephrosis
S187,hyperalgesia
S188,hyperglycemia
S189,hyperlipidemias
S190,hyperplasia
S191,hyperprolactinemia
S192,hypertension, malignant
S193,hypertension, renovascular
S194,hyperthyroidism
S195,hypertriglyceridemia
S196,hypertrophy
S197,hypertrophy, left ventricular
S198,hypocalcemia
S199,hypokinesia
S200,hypospadias
S201,immune system diseases
S202,immunologic deficiency syndromes
S203,infant, newborn, diseases
S204,infertility
S205,infertility, female
S206,infertility, male
S207,inflammation
S208,insulin resistance
S209,intestinal diseases
S210,intestinal neoplasms
S211,intracranial embolism and thrombosis
S212,intracranial hemorrhages
S213,iron overload
S214,jaundice, obstructive
S215,jaw abnormalities
S216,keratitis, herpetic
S217,kidney neoplasms
S218,lactation disorders
S219,leiomyoma
S220,liver cirrhosis, experimental
S221,liver diseases
S222,liver neoplasms
S223,lung diseases
S224,lung neoplasms
S225,lupus erythematosus, systemic
S226,lymphatic diseases
S227,lymphoma
S228,lymphopenia
S229,mammary neoplasms, animal
S230,mammary neoplasms, experimental
S231,manganese poisoning
S232,medulloblastoma
S233,melanosis
S234,mesothelioma
S235,metaplasia
S236,metrorrhagia
S237,microcephaly
S238,mood disorders
S239,musculoskeletal abnormalities
S240,myocardial infarction
S241,myocardial ischemia
S242,myocardial reperfusion injury
S243,myocarditis
S244,nausea
S245,neoplasm invasiveness
S246,neoplasm metastasis
S247,neoplasms, experimental
S248,neovascularization, pathologic
S249,nephritis
S250,nervous system diseases
S251,nervous system malformations
S252,neural tube defects
S253,neuronal migration disorders
S254,neurotoxicity syndromes
S255,olfaction disorders
S256,oligospermia
S257,osteoporosis, postmenopausal
S258,ovarian cysts
S259,ovarian diseases
S260,ovarian neoplasms
S261,pain
S262,pancreatic neoplasms
S263,panic disorder
S264,paralysis
S265,parkinson disease
S266,peanut hypersensitivity
S267,peliosis hepatis
S268,pericardial effusion
S269,pigmentation disorders
S270,pituitary diseases
S271,pituitary neoplasms
S272,placenta diseases
S273,pneumococcal infections
S274,poisoning
S275,polycystic ovary syndrome
S276,polyuria
S277,porphyria cutanea tarda
S278,porphyrias, hepatic
S279,precancerous conditions
S280,pre-eclampsia
S281,premature birth
S282,prenatal injuries
S283,prolactinoma
S284,prostatic diseases
S285,prostatic hyperplasia
S286,prostatic intraepithelial neoplasia
S287,prostatitis
S288,proteinuria
S289,pruritus
S290,psychotic disorders
S291,puberty, delayed
S292,puberty, precocious
S293,pulmonary embolism
S294,pyelonephritis
S295,respiratory system abnormalities
S296,salivary gland diseases
S297,sarcoma
S298,scoliosis
S299,sexual and gender disorders
S300,sinus thrombosis, intracranial
S301,skin diseases
S302,skin neoplasms
S303,skin ulcer
S304,sleep initiation and maintenance disorders
S305,somatosensory disorders
S306,spermatocele
S307,streptococcal infections
S308,stroke
S309,substance-related disorders
S310,substance withdrawal syndrome
S311,tachycardia
S312,tachycardia, ventricular
S313,taste disorders
S314,testicular diseases
S315,tetany
S316,thromboangiitis obliterans
S317,thromboembolism
S318,thrombophilia
S319,thrombophlebitis
S320,thrombosis
S321,thyroid diseases
S322,tibial fractures
S323,torsades de pointes
S324,tricuspid atresia
S325,ureteral obstruction
S326,urethral stricture
S327,urinary bladder calculi
S328,urinary retention
S329,urination disorders
S330,urogenital abnormalities
S331,uterine cervical neoplasms
S332,uterine diseases
